Date : 2019-11-19 02:27:14
Directory : /Users/flatironschool/Development/code/mod5project/bugtracker
Total : 109 files,  16337 codes, 699 comments, 654 blanks, all 17690 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/test/controllers/projects_controller_test.rb           | Ruby       |          3 |          3 |          2 |          8 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/test/controllers/user_bugs_controller_test.rb          | Ruby       |          3 |          3 |          2 |          8 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/test/controllers/user_projects_controller_test.rb      | Ruby       |          3 |          3 |          2 |          8 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/test/controllers/users_controller_test.rb              | Ruby       |          3 |          3 |          2 |          8 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/test/fixtures/bugs.yml                                 | YAML       |         18 |          1 |          3 |         22 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/test/fixtures/projects.yml                             | YAML       |          8 |          1 |          3 |         12 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/test/fixtures/user_bugs.yml                            | YAML       |          6 |          1 |          3 |         10 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/test/fixtures/user_projects.yml                        | YAML       |          6 |          1 |          3 |         10 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/test/fixtures/users.yml                                | YAML       |         10 |          1 |          3 |         14 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/test/models/bug_test.rb                                | Ruby       |          3 |          3 |          2 |          8 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/test/models/project_test.rb                            | Ruby       |          3 |          3 |          2 |          8 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/test/models/user_bug_test.rb                           | Ruby       |          3 |          3 |          2 |          8 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/test/models/user_project_test.rb                       | Ruby       |          3 |          3 |          2 |          8 |
